college_id,standard_college_names
1,"TSWRDCW Nagarkurnool"
2,"HHMSPB NSS College"
3,"Abeda Inamdar Senior College"
4,"Vivekanand College, Kolhapur"
5,"Indian Institute of Technology Palakkad"
6,"Christ University"
7,"St. Francis College for Women, Begumpet"
8,"Uttaranchal University"
9,"Osmania University"
10,"Jaipur Engineering College and Research Centre"
11,"Indian Institute of Information Technology, Pune"
12,"Hindi Vidya Prachar Samiti's Ramniranjan Jhunjhunwala College of Arts, Commerce and Science"
13,"St. Andrews College, Gorakhpur"
14,"St. Edmund's College"
15,"Tulas Institute"
16,"Tilka Manjhi Bhagalpur University"
17,"GLA University, Mathura"
18,"Modern College"
19,"Accurate Institute of Higher Education"
20,"Axis Institute of Technology and Management"
21,"Institute of Chemical Technology, Mumbai"
22,"Women's Institute of Technology, Dehradun"
23,"University of Delhi"
24,"National Institute of Technology, Hamirpur"
25,"PSGR Krishnammal College for Women"
26,"Vignana Bharathi Institute of Technology"
27,"Centre for Neural and Cognitive Sciences, University of Hyderabad"
28,"College of Engineering Trivandrum"
29,"Karnataka University"
30,"Willingdon College"
31,"TSWRDCW Warangal East"
32,"TSWRDC & PGC, Budvel"
33,"Mohandas College of Engineering and Technology"
34,"TSWRDCW Vikarabad"
35,"Government First Grade College, Haveri"
36,"Banaras Hindu University"
37,"Indian Institute of Technology Roorkee"
38,"Prasad Institute of Technology"
39,"Kumaun University"
40,"University of Mysore"
41,"MKSSS Cummins College of Engineering for Women"
42,"St. Xavier's College, Thumba, Trivandrum"
43,"Fergusson College"
44,"Vidya Vikas Institute of Engineering and Technology"
45,"GSSS Institute of Engineering and Technology for Women"
46,"LBS Institute of Technology for Women"
47,"Dr. Babasaheb Ambedkar Technological University, Lonere"
48,"Nanhi Pari Seemant Institute of Technology, Pithoragarh"
49,"Govind Ballabh Pant Institute of Engineering and Technology"
50,"JB Institute of Technology, Dehradun"
51,"Mody University of Science and Technology"
52,"Kalindi College"
53,"Anna University Regional Campus, Coimbatore"
54,"University of Petroleum and Energy Studies, Dehradun"
55,"University of Kerala, Karyavattom"
56,"Maharana Pratap Engineering College"
57,"Indian Institute of Technology Bhilai"
58,"Government College for Women, Vazhuthacaud"
59,"Kakatiya University"
60,"Satavahana University"
61,"Telangana University"
62,"TSWRDC Mahendrahills"
63,"TTWRDCW Suryapeta"
64,"AISSMS Institute of Information Technology, Pune"
65,"Indian Institute of Science Education and Research, Pune"
66,"TTWRDCW Utnoor"
67,"TSWRDCW Adilabad"
68,"Palamuru University"
69,"ABES Engineering College"
70,"Dr. A.P.J. Abdul Kalam Institute of Technology, Tanakpur"
71,"Pimpri Chinchwad College of Engineering and Research"
72,"Trinity College of Engineering"
73,"VTM NSS College"
74,"Christ Nagar College"
75,"Indian Institute of Science Education and Research, Berhampur"
76,"Daulat Ram College"
77,"University College Thiruvananthapuram"
78,"THDC Institute of Hydropower Engineering and Technology, Tehri"
79,"Saintgits College of Engineering, Kottayam"
80,"TTWRDCW Shadnagar"
81,"Indian Institute of Technology Mandi"
82,"Max Institute of Pharmaceutical Sciences"
83,"TSWRDCW Sircilla"
84,"Government First Grade College, Davanagere"
85,"TSWRDCW Jagtial"
86,"Indian Institute of Science Education and Research, Tirupati"
87,"Karnataka Science College, Dharwad"
88,"Gargi College"
89,"Mahatma Gandhi College"
90,"Government College for Women, Thiruvananthapuram"
91,"Mar Ivanios College"
92,"Noida Institute of Engineering and Technology"
93,"TTWRDCW Devarakonda"
94,"TTWRDCW Mahabubabad"
95,"TTWRDCW Nizamabad"
96,"TSWRDCW Armoor"
97,"Miranda House, University of Delhi"
98,"Aastha Vidya Mandir English Medium School"
99,"TSWRDC Nizamabad"
100,"Patna University"
101,"TSWRDCW Jangaon"
102,"TTWRDCW Mahabubnagar"
103,"TSWRDCW Bhupalpally"
104,"TSWRDCW Medak"
105,"TSWRDCW Mahbubnagar"
106,"Mahatma Gandhi University, Nalgonda"
107,"TSWRDCW Kamareddy"
108,"TTWRDCW Medak"
109,"TSWRDCW Karimnagar"
110,"Government College, Kariavattom"
111,"TSWRDC Siddipet"
112,"Vishwakarma Institute of Information Technology (VIIT), Pune"
113,"Dev Bhoomi Uttarakhand University"
114,"Shivaji University"
115,"DAV University"
116,"TTWRDCW Mulugu"
117,"Lovely Professional University"
118,"All Saints College"
119,"TSWRDCW Nalgonda"
120,"TSWRDCW Warangal West"
121,"TTWRDCW Asifabad"
122,"Bharathiar University"
123,"New Bombay City School"
124,"St. Joseph's College for Women"
125,"National Institute of Technology, Calicut"
126,"University of Lucknow"
127,"Pal College of Technology and Management"
128,"TSWRDC Khammam"
129,"TSWRD Pharmacy College, Mahbubabad"
130,"Hindu College"
131,"TSSM's Bhivarabai Savant College of Engineering"
132,"TSWRDCW Jagathgirigutta"
133,"NSS College for Women, Neeramankara"
134,"University of Hyderabad"
135,"LBS Institute of Technology for Women, Poojappura"
136,"The National College, Jayanagar"
137,"Panimalar Engineering College, Chennai"
138,"Institute of Technology, Gopeshwar"
139,"Delhi University"
140,"Himachal Pradesh University"
141,"Indian Institute of Science Education and Research, Bhopal"
142,"St. Joseph's College of Engineering and Technology, Palai"
143,"Vidyasagar University"
144,"TTWRDCW Khammam"
145,"Jamia Millia Islamia"
146,"Bhaskaracharya College of Applied Sciences"
147,"GD Goenka University"
148,"DSB Campus, Kumaun University"
149,"Mount Carmel College"
150,"School of Specialized Excellence, Shalimar Bagh"
151,"TTWRDCW Kothagudem"
152,"TSWRDC Nirmal"
153,"Soban Singh Jeena University"
154,"TSWRDCW Kothagudem"
155,"Indian Institute of Space Science and Technology"
156,"TSWRDCW Suryapet"
157,"Government Engineering College, Barton Hill"
158,"TTWRDCW Sircilla"
159,"TSWRDCW Mancherial"
160,"Swami Vivekanand Government College, Ghumarwin"
161,"St. Xavier's College (Autonomous), Kolkata"
162,"Rajkiya Pratibha Vikas Vidyalaya, Shalimar Bagh, Delhi"
163,"DY Patil International University"
164,"Tezpur University"
165,"LSM Government Postgraduate College, Pithoragarh"
166,"Savitribai Phule Pune University"
167,"Techno International New Town"
168,"Rajmata Jijau Arts, Commerce and Science College"
169,"Presidency University, Kolkata"
170,"Atma Ram Sanatan Dharma College"
171,"Mangalore University"
172,"University of Mumbai"
173,"Government College, Attingal"
174,"Visvesvarayan Technological University"
175,"Panjab University"
176,"Chevalier T. Thomas Elizabeth College for Women"
177,"Shailabala Women's Autonomous College"
178,"SM Joshi College, Hadapsar"
179,"University of Kalyani"
180,"Jengraimukh College"
181,"Nutan Maharashtra Institute of Engineering and Technology, Talegaon Dabhade"
182,"St. Francis De Sales College"
183,"Mamasaheb Mohol College"
184,"HSS for Girls, Venganoor"
185,"Bennett University"
186,"Suresh Gyan Vihar University"
187,"BMS College of Engineering"
188,"Dr. Shyama Prasad Mukherjee University"
189,"Bharati Vidyapeeth College of Engineering for Women"
190,"Bhonsala Military College"
191,"Agni College of Technology"
192,"TTWRDCW Dammapeta"
193,"Dr. Vikram Sarabhai Institute of Cell and Molecular Biology"
194,"Indian Institute of Science Education and Research, Kolkata"
195,"Samarth Kanishta College, Savangi"
196,"The Maharaja Sayajirao University of Baroda"
197,"St. Xavier's College (Autonomous), Mumbai"
198,"Chaudhary Charan Singh University"
199,"Guru Nanak Khalsa College"
200,"Government College of Pharmacy, Karad"
201,"West Bengal State University"
202,"TSWRDCW Wanaparthy"
203,"Indian Institute of Technology Indore"
204,"Dibrugarh University"
205,"Madanapalle Junior College"
206,"Aligarh Muslim University"
207,"Sir P.T. Sarvajanik College of Science"
208,"Government Degree College, Sindhanur"
209,"Dyal Singh College"
210,"Indira College of Engineering and Management"
211,"Vellore Institute of Technology"
212,"School of Biotechnology, Jawaharlal Nehru University"
213,"Shri Shivaji College of Science"
214,"Symbiosis Statistical Institute, Pune"
215,"J.C. Bose University of Science and Technology"
216,"Kamala Nehru College"
217,"Indian Institute of Technology Hyderabad"
218,"Gokaraju Rangaraju Institute of Engineering and Technology"
219,"Sri Dev Suman Uttarakhand University"
220,"MBPG College, Haldwani"
221,"Bengaluru City University"
222,"JSS Banashankari and SK Gubbi College"
223,"Sinhgad Institute of Technology and Science, Narhe Ambegaon"
224,"Veer Narmad South Gujarat University"
225,"MG College, Thiruvananthapuram"
226,"UCA College of Paramedical Sciences"
227,"TKM College of Engineering"
228,"National Institute of Science Education and Research, Bhubaneswar"
229,"College of Community Science, Parbhani"
230,"SNDT Women's University, Mumbai"
231,"SSLT Gujarat Senior Secondary School"
232,"IPSDR, Kumaun University"
233,"ACS Medical College & Hospital"
234,"Annai Veilankanni's Pharmacy College"
235,"National Institute of Technology, Durgapur"
236,"Dr. D.Y. Patil College of Engineering, Akurdi"
237,"TJS Engineering College"
238,"Indian Institute of Technology Tirupati"
239,"Amal Jyothi College of Engineering"
240,"Asma Institute of Management"
241,"Gayatri Vidya Parishad College of Engineering"
242,"Dr. A.V. Baliga Arts and Science College, Kumta"
243,"ACS Medical College and Hospital"
244,"AMC Engineering College"
245,"Jawaharlal Nehru Technological University, Hyderabad"
246,"Lloyd Institute of Engineering and Technology"
247,"Shri Guru Ram Rai University"
248,"Doon University"
249,"Govt. P.G. College, Berinag"
250,"Govt. P.G. College, Champawat"
251,"P.N.G Govt. P.G. College, Ramnagar"
252,"Indira Priyadarshini Govt. P.G. College of Commerce, Haldwani"
253,"Government Degree College, Tanakpur"
254,"Govt. P.G. College, Dwarahat"
255,"Govt. P.G. College, Someshwar"
256,"Govt. P.G. College, Ranikhet"
257,"Govt. P.G. College, Lohaghat"
258,"Govt. Degree College, Devidhura"
259,"Govt. P.G. College, Raipur"
260,"VSKC Govt. P.G College, Dakpathar"
261,"Moti Ram Babu Ram Govt. P.G. College, Haldwani"
262,"Govt. Degree College, Haldwani Shahar"
263,"Lal Bahadur Shastri Govt. P.G. College, Halduchur"
264,"Govt. P.G. College, Narayan Nagar"
265,"Govt. Degree College, Narendra Nagar"
266,"Govt. P.G. Degree College, Sitarganj"
267,"HNB P.G. College, Khatima"
268,"S.B.S. Govt. P.G. College, Rudrapur"
269,"Govt. Degree College, Jaspur"
270,"Govt. Degree College, Dehradun City"
271,"Saheed Duragamall Govt. P.G. College, Doiwala"
272,"M.K.P P.G. College"
273,"Govt. P.G. College New Tehri, Tehri Garhwal"
274,"Omkarananda Saraswati Govt. Degree College, Deoprayag"
275,"Dr. Pitambar Datt Barthwal P.G. College, Kotdwara"
276,"Bhakt Darshan Govt. P.G. College, Jaiharikhal"
277,"Government P.G. College, Thalisain"
278,"Maya Devi University"
279,"Dolphin (PG) Institute of Biomedical & Natural Sciences"
280,"Dwaraka Doss Goverdhan Doss Vaishnav College"
281,"Dr. B.R. Ambedkar School of Specialized Excellence, Shalimar Bagh"
282,"Dr. B.R. Ambedkar National Institute of Technology, Jalandhar"
283,"Ramjas College, University of Delhi"
284,"SA Engineering College"
285,"University of Engineering and Management"
286,"Guru Teg Bahadur Institute of Technology"
287,"Chandigarh University"
288,"Meenakshi College of Engineering"
289,"Elphinstone College"
290,"Sri Venkateswara College of Engineering and Technology, Thiruvallur"
291,"Sree Vidyanikethan Engineering College"
292,"Dhirajlal Gandhi College of Technology"
293,"Bajaj College of Science, Wardha"
294,"Amity University"
295,"Jorhat Institute of Science and Technology"
296,"Indian Institute of Technology (Banaras Hindu University)"
297,"Maa Shakambari University, Saharanpur"
298,"GGDSD College, Chandigarh"
299,"Indian Institute of Technology Madras"
300,"LSM Campus, Pithoragarh"
301,"School of Excellence, Kalkaji"
302,"Queen Mary's College"
303,"Dr. Harisingh Gour University, Sagar"
304,"Government College of Technology, Coimbatore"
305,"SNS Postgraduate College, Narayan Nagar, Didihat"
306,"Institute of Science, Mumbai"
307,"Hansraj College"
308,"Islamia College of Science and Commerce"
309,"Sister Nivedita University"
310,"The American College"
311,"Shrimati Devkunvar Nanalal Bhatt Vaishnav College for Women, Chromepet, Chennai"
312,"SRM Institute of Science and Technology, Chennai"
313,"GGSSS Shalimar Bagh, AP Block, Delhi"
314,"J.C. Bose Technical Campus, Bhimtal"
315,"JSS Academy of Technical Education, Noida"
316,"Pandit Nagina Smarak Mahavidyalaya"
317,"Manonmaniam Sundaranar University"
318,"Bharathi Women's College (Autonomous)"
319,"Universit̩ de Technologie de Compi̬gne, France"
320,"C.N.B. College, Bokakhat"
321,"SDM College of Engineering and Technology"
322,"The New College, Kolhapur"
323,"Anand Niketan College of Agriculture, Warora"
324,"Tamil Nadu Agricultural University"
325,"Dr. D.Y. Patil Institute of Technology, Pimpri"
326,"Lokmanya Tilak Institute of Pharmaceutical Sciences"
327,"College of Agriculture, Parbhani"
328,"Government Chandravijay College, Rani Durgavati Vishwavidyalaya"
329,"Zeal College of Engineering and Research"
330,"Jeevan Deep Shikshan Sanstha, Poi"
331,"National Institute of Technology, Rourkela"
332,"SS Jain Subodh Autonomous Postgraduate College"
333,"St. Mira's College, Pune"
334,"KPR Institute of Engineering and Technology"
335,"Rani Channamma University, Belagavi"
336,"Department of Biochemistry, Sri Venkateswara College, University of Delhi"
337,"MCM DAV College, Chandigarh"
338,"Symbiosis Institute of Business Management"
339,"Dr. Ambedkar Government Arts and Science College"
340,"Institute of Infrastructure Technology Research and Management"
341,"VSSKV School, Kalkaji"
342,"EVPG College, Korba"
343,"Soban Singh Jeena University, Almora"
344,"Kurukshetra University"
345,"University of Allahabad"
346,"Delhi Public School, Bangalore East"
347,"Vivekananda Institute of Professional Studies"
348,"Sant Gadge Baba Amravati University"
349,"SFS Degree College"
350,"SS Parik College"
351,"Sri Chaitanya Pre-University College"
352,"Vivekanand College, Sambhaji Nagar"
353,"Adhi College of Engineering and Technology"
354,"Swami Shraddhanand College"
355,"Bhavan's College and Ramnarain Ruia Autonomous College"
356,"Dr. D.Y. Patil Biotechnology and Bioinformatics Institute, Tathawade, Pune"
357,"Sridevi Women's Engineering College"
358,"Indus Valley Degree College"
359,"Banasthali Vidyapith"
360,"Meenakshi Academy of Higher Education and Research"
361,"Hon. Balasaheb Jadhav Arts, Commerce and Science College"
362,"N.V. Patel College of Pure and Applied Sciences"
363,"University of Kerala"
364,"SD College, Barnala"
365,"Ambedkar Institute of Advanced Communication Technologies and Research"
366,"Indira Gandhi National Tribal University, Amarkantak"
367,"Government Polytechnic, Amravati"
368,"College of Agriculture, Dapoli"
369,"St. Xavier's College, Ahmedabad"
370,"Sai Vidya Institute of Technology"
371,"Ramnarain Ruia Autonomous College"
372,"Institute for Excellence in Higher Education, Bhopal"
373,"Bharati Vidyapeeth Deemed University"
374,"Kirori Mal College"
375,"Dr. MGR Educational and Research Institute"
376,"Narayana Pre-University College"
377,"National Forensic Sciences University"
378,"Dr. B.R. Ambedkar School of Specialised Excellence"
379,"Dr. Gaikwad Institute"
380,"Pingle Postgraduate College for Women"
381,"Hislop College"
382,"Bankura University"
383,"Andhra University"
384,"Mahatma Gandhi University, Kottayam"
385,"Justice Basheer Ahmed Sayeed College for Women"
386,"ZA Islamia College, Siwan"
387,"MCKV Institute of Engineering"
388,"Dr. A.P.J. Abdul Kalam Technical University"
389,"Rajasthan University of Health Sciences"
390,"Nowrosjee Wadia College, Pune"
391,"Udai Pratap College"
392,"Parul University"
393,"Dr. D.Y. Patil College of Engineering and Innovation, Varale, Talegaon"
394,"Mother Teresa Women's University"
395,"National Institute of Technology, Tiruchirappalli"
396,"Rishi MS Institute of Technology and Engineering for Women"
397,"LD College of Engineering"
398,"National Institute of Technology, Karnataka"
399,"VNR Vignana Jyothi Institute of Engineering and Technology"
400,"Soka Ikeda College of Arts and Science for Women"
401,"Sophia College for Women"
402,"Sri Padmavati Mahila Visvavidyalayam"
403,"Kannur University"
404,"Bharati Vidyapeeth Institute of Environment Education and Research"
405,"Sunandan Divatia School of Science"
406,"Shri Shivaji College, Akola"
407,"Pratap College, Amalner"
408,"GPGC, Champawat"
409,"Maya Devi University, Dehradun"
410,"SGRR University"
411,"Govt. Professional College, Banas Paithani"
412,"Govt. P.G. College, Paithani"
413,"Govt. P.G. College, Bazpur"
414,"Radhey Hari (R.H.) Govt. P.G. College, Kashipur"
415,"Maharana Pratap Govt. Degree College Nanakmatta"