university_id,standard_university_names
1,"Central Tribal University of Andhra Pradesh (CTU AP)"
2,"Employees State Insurance Corporation (ESIC)"
3,"National Testing Agency (NTA)"
4,"Central University of Andhra Pradesh (CU Andhra Pradesh)"
5,"Coir Board"
6,"Indian Maritime University (IMU)"
7,"National Sanskrit University (NSKTU Tirupati)"
8,"Acharya Nagarjuna University"
9,"Acharya NG Ranga Agricultural University (ANGRAU)"
10,"Adikavi Nannaya University (AKNU)"
11,"Andhra University"
12,"Damodaram Sanjivayya National Law University (DSNLU)"
13,"Dhanamanjuri University"
14,"Dr BRAmbedkar University Srikakulam"
15,"Dr NTR University of Health Sciences"
16,"Uttarakhand Technical University"
17,"Dr YSR Architecture and Fine Arts University (YSRAFU)"
18,"Dravidian University"
19,"Jawaharlal Nehru Technological University Anantapur (JNTUA)"
20,"Jawaharlal Nehru Technological University Hyderabad (JNTUH)"
21,"Jawaharlal Nehru Technological University Kakinada (JNTUK)"
22,"Karnataka State Akkamahadevi Women University (KSAWU)"
23,"Krishna University"
24,"Rajiv Gandhi University of Knowledge Technologies (RGUKT)"
25,"Sri Krishnadevaraya University (SK University)"
26,"Sri Padmavati Mahila Visvavidyalayam (SPMVV)"
27,"Sri Venkateswara Institute of Medical Sciences (SVIMS)"
28,"Sri Venkateswara University (SVU Tirupati)"
29,"Sri Venkateswara Vedic University (SVVU)"
30,"Sri Venkateswara Veterinary University (SVVU)"
31,"Vikrama Simhapuri University"
32,"Yogi Vemana University (YVU)"
33,"Gandhi Institute of Technology and Management"
34,"K L University"
35,"SRM University"
36,"Vignan University"
37,"Gitam University"
38,"Maharishi University of Management and Technology"
39,"Rayalaseema University"
40,"Sri Sathya Sai University"
41,"All India Institute of Medical Sciences Mangalagiri (AIIMS Mangalagiri)"
42,"Central Institute of Fisheries Nautical and Engineering Training (CIFNET)"
43,"Central Institute of Tool Design (CITD)"
44,"Indian Culinary Institute (ICI)"
45,"Indian Institute of Information Technology Design and Manufacturing Kurnool (IIITDM Kurnool)"
46,"Indian Institute of Information Technology Sri City (IIIT Sri City)"
47,"Indian Institute of Management Visakhapatnam (IIM Vizag)"
48,"Indian Institute of Petroleum and Energy (IIPE)"
49,"Indian Institute of Science Education and Research Tirupati (IISER Tirupati)"
50,"Indian Institute of Technology Tirupati (IIT Tirupati)"
51,"Indian Institute of Tourism and Travel Management Nellore (IITTM Nellore)"
52,"National Institute of Design (NID)"
53,"National Institute of Technology Andhra Pradesh (NIT Andhra Pradesh)"
54,"School of Planning and Architecture Vijayawada (SPA Vijayawada)"
55,"SPKM Indian Institute of Handloom Technology Venktagiri"
56,"Andhra Pradesh State Council of Higher Education (APSCHE)"
57,"Himalayan University"
58,"Rajiv Gandhi University (RGU)"
59,"North Eastern Regional Institute of Science and Technology (NERIST)"
60,"Arunachal Universuty of Studies"
61,"Arunodaya University"
62,"Indira Gandhi Technological and Medical Sciences University"
63,"North East Frontier Technical University"
64,"Venkateshwara Open University"
65,"National Institute of Electronics and Information Technology (NIELIT)"
66,"National Institute of Technology Arunachal Pradesh (NIT Arunachal Pradesh)"
67,"Assam Agricultural University (AAU)"
68,"Assam University (AU Silchar)"
69,"Centre for Development of Advanced Computing (CDAC)"
70,"Indian Oil Corporation Limited (IOCL)"
71,"Tezpur University (TEZU)"
72,"Assam Rajiv Gandhi University of Cooperative Management (ARGUCOM)"
73,"Assam Science and Technology University (ASTU)"
74,"Assam Womens University (AWU)"
75,"Bhattadev University"
76,"Bodoland University"
77,"Cotton University"
78,"Dibrugarh University"
79,"Gauhati University"
80,"Krishna Kanta Handiqui State Open University (KKHSOU)"
81,"Kumar Bhaskar Varma Sanskrit and Ancient Studies University (KBVSASUN)"
82,"Madhabdev University"
83,"National Law University and Judicial Academy Assam (NLUJA Assam)"
84,"Sri Sri Aniruddhadeva Sports University (SASU)"
85,"Srimanta Sankaradeva University of Health Sciences (SSUHS)"
86,"Assam Don Bosco University (ADBU)"
87,"Assam Down Town University"
88,"Kaziranga University"
89,"Mahapurusha Srimanta Sankaradeva Viswavidyalaya (MSSV)"
90,"Royal Global University"
91,"Army Institute of Nursing Guwahati (AIN Guwahati)"
92,"Central Institute of Technology Kokrajhar (CIT Kokrajhar)"
93,"Dr Bhubaneswar Borooah Cancer Institute (BBCI)"
94,"Indian Institute of Handloom Technology Guwahati (IIHT Guwahati)"
95,"Indian Institute of Information Technology Guwahati (IIIT Guwahati)"
96,"Indian Institute of Technology Guwahati (IIT Guwahati)"
97,"Indian Statistical Institute Tezpur (ISI Tezpur)"
98,"National Institute of Pharmaceutical Education and Research Guwahati (NIPER Guwahati)"
99,"National Institute of Technology Silchar (NIT Silchar)"
100,"National Power Training Institute (NPTI)"
101,"North Eastern Regional Institute of Water and Land Management (NERIWALM)"
102,"Institute of Advanced Study in Science and Technology (IASST)"
103,"State Council of Educational Research and Training Assam (SCERT Assam)"
104,"Central University of South Bihar (CUSB)"
105,"Dr Rajendra Prasad Central Agricultural University (RPCAU)"
106,"Mahatma Gandhi Central University Bihar (MGCUB)"
107,"Nalanda University"
108,"Aryabhatta Knowledge University (AKU Bihar)"
109,"Babasaheb Bhimrao Ambedkar Bihar University (BRABU)"
110,"Bhupendra Narayan Mandal University (BNMU)"
111,"Bihar Agricultural University (BAU)"
112,"Bihar Animal Sciences University (BASU)"
113,"Chanakya National Law University (CNLU)"
114,"Jai Prakash University (JPU)"
115,"Dev Bhoomi Uttarakhand University"
116,"Kameshwar Singh Darbhanga Sanskrit University (KSDSU)"
117,"Lalit Narayan Mithila University (LNMU)"
118,"Magadh University"
119,"Maulana Mazharul Haque Arabic and Persian University (MMHAPU)"
120,"Munger University"
121,"Nalanda Open University"
122,"Nava Nalanda Mahavihara (NNM)"
123,"Patna University"
124,"Tilka Manjhi Bhagalpur University (TMBU)"
125,"Veer Kunwar Singh University (VKSU)"
126,"Bihar School of Yoga (Bihar Yoga Bharti)"
127,"Amity University"
128,"K K University"
129,"All India Institute of Medical Sciences Patna (AIIMS Patna)"
130,"Indian Institute of Information Technology Bhagalpur (IIIT Bhagalpur)"
131,"Indian Institute of Management Bodh Gaya (IIM Bodh Gaya)"
132,"Indian Institute of Technology Patna (IIT Patna)"
133,"Institute of Hotel Management Hajipur (IHM Hajipur)"
134,"National Institute of Fashion Technology (NIFT)"
135,"National Institute of Pharmaceutical Education and Research Hajipur (NIPER Hajipur)"
136,"National Institute of Technology Patna (NIT Patna)"
137,"Bihar Combined Entrance Competitive Examination Board (BCECE Board)"
138,"Bihar School Examination Board (BSEB)"
139,"Chandigarh University"
140,"National Institute of Technical Teachers Training and Research Chandigarh (NITTTR Chandigarh)"
141,"Central Scientific Instruments Organisation (CSIO)"
142,"State Council of Educational Research and Training (SCERT Chandigarh)"
143,"Guru Ghasidas University (GGU Bilaspur)"
144,"Atal Bihari Vajpayee Bilaspur University (ABVV)"
145,"Chhattisgarh Kamdhenu Vishwavidyalaya (CGKV)"
146,"Chhattisgarh Swami Vivekanand Technical University (CSVTU)"
147,"Durg University"
148,"Hidayatullah National Law University (HNLU)"
149,"Indira Gandhi Agricultural University (IGAU)"
150,"Indira Kala Sangeet Vishwavidyalaya (IKSV)"
151,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya (KTUJM)"
152,"Pandit Ravishankar Shukla University (PRSU)"
153,"Pandit Sundarlal Sharma University Chhattisgarh (PSSOU)"
154,"Pt Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh"
155,"Sarguja University"
156,"Shaheed Mahendra Karma Vishwavidyalaya (Bastar University)"
157,"Dr C V Raman University"
158,"ICFAI University"
159,"ISBM University"
160,"ITM University"
161,"Kalinga University"
162,"MATS University"
163,"OP Jindal University"
164,"All India Institute of Medical Sciences (AIIMS Bilaspur)"
165,"All India Institute of Medical Sciences Raipur (AIIMS Raipur)"
166,"Kumaun University"
167,"Indian Institute of Handloom Technology Champa (IIHT Chhattisgarh)"
168,"Indian Institute of Management Raipur (IIM Raipur)"
169,"Indian Institute of Technology Bhilai (IIT Bhilai)"
170,"MSME Technology Centre Durg (MSME TECH Durg)"
171,"National Institute of Technology Raipur (NIT Raipur)"
172,"Chhattisgarh Professional Examination Board (CGVYAPAM)"
173,"School of Archival Studies (National Archives of India)"
174,"Central Council for Research in Ayurvedic Sciences (CCRAS)"
175,"Jamia Millia Islamia (JMI)"
176,"Jawaharlal Nehru University (JNU)"
177,"National Institute of Educational Planning and Administration (NIEPA)"
178,"National University of Educational Planning and Administration (NUEPA)"
179,"Rashtriya Ayurveda Vidyapeeth (RAV Delhi)"
180,"South Asian University (SAU)"
181,"University of Delhi (Delhi University)"
182,"Ambedkar University Delhi"
183,"Delhi Pharmaceutical Sciences and Research University (DPSRU)"
184,"Delhi Skill and Entrepreneurship University (DSEU)"
185,"Delhi Technological University (DTU)"
186,"Guru Gobind Singh Indraprastha University (GGSIPU)"
187,"Indira Gandhi Delhi Technical University For Women (IGDTUW)"
188,"National Law University Delhi (NLU Delhi)"
189,"Netaji Subhas University of Technology (NSIT)"
190,"Central Sanskrit University"
191,"Jamia Hamdard"
192,"Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha (SLBSRSV)"
193,"TERI University"
194,"International Management Institute Delhi (IMI Delhi)"
195,"All India Institute of Medical Sciences Delhi (AIIMS Delhi)"
196,"Central Board Of Irrigation And Power (CBIP)"
197,"Delhi School of Communication (DSC)"
198,"Indian Agricultural Research Institute (IARI)"
199,"Indian Institute of Foreign Trade (IIFT)"
200,"Indian Institute of Mass Communication (IIMC)"
201,"Indian Institute of Packaging (IIP)"
202,"Indian Institute of Technology Delhi (IIT Delhi)"
203,"Indian Law Institute (ILI)"
204,"Indian Statistical Institute Delhi (ISI Delhi)"
205,"Indraprastha Institute of Information Technology Delhi (IIIT Delhi)"
206,"Institute of Genomics and Integrative Biology (IGIB)"
207,"Institute of Hotel Management Catering and Nutrition Pusa Delhi (IHM Pusa)"
208,"Institute of Liver and Biliary Sciences (ILBS)"
209,"Institute of Rail Transport (IRT)"
210,"LNJN National Institute of Criminology and Forensic Science (NICFS)"
211,"Lok Nayak Jayaprakash Narayan National Institute of Criminology and Forensic Science"
212,"Morarji Desai National Institute of Yoga (MDNIY)"
213,"National Council for Hotel Management and Catering Technology (NCHMCT)"
214,"National Council of Educational Research and Training (NCERT)"
215,"National Institute of Health and Family Welfare (NIHFW)"
216,"National Institute of Immunology (NII)"
217,"National Institute of Plant Genome Research (NIPGR)"
218,"National Institute of Technology Delhi (NIT Delhi)"
219,"National Museum Institute of the History of Art Conservation and Museology (NMIHACM)"
220,"National School of Drama (NSD)"
221,"Pt Deendayal Upadhyaya National Institute For Persons with Physical Disabilities (IPH New Delhi)"
222,"School of Planning and Architecture (SPA Delhi)"
223,"All India Institute of Ayurveda (AIIA)"
224,"Govind Ballabh Pant Institute of Postgraduate Medical Education and Research (GIPMER)"
225,"Indian Council of Historical Research (ICHR)"
226,"National Institute of Malaria Research (NIMR)"
227,"Indian Council of Medical Research (ICMR)"
228,"National Board of Examinations (NBE)"
229,"National Industrial Training Centre (NITC Delhi)"
230,"Goa University"
231,"Gujarat Vidyapith"
232,"CEPT University"
233,"Gujarat Maritime University (GMU)"
234,"Indian Institute of Technology Goa (IIT Goa)"
235,"Indian Institute of Tourism and Travel Management Goa (IITTM Goa)"
236,"Institute for Plasma Research (IPR Gandhinagar)"
237,"National Institute of Technology Goa (NIT Goa)"
238,"Gujarat Secondary and Higher Secondary Education Board (GSEB)"
239,"Central University of Gujarat (CUG)"
240,"Anand Agricultural University (AAU)"
241,"Bhakta Kavi Narsinh Mehta University (BNKMU)"
242,"Birsa Munda Tribal University (BMTU)"
243,"Children University Gujarat"
244,"Dharmsinh Desai University (DDU)"
245,"Dr Babasaheb Ambedkar Open University (BAOU)"
246,"Gujarat Ayurved University (GAU)"
247,"Gujarat National Law University (GNLU)"
248,"Gujarat Technological University (GTU)"
249,"Gujarat University"
250,"Gujarat University of Transplantation Sciences (GUTS)"
251,"Hemchandracharya North Gujarat University (NGU)"
252,"Indian Institute of Teacher Education (IITE Gandhinagar)"
253,"Institute of Infrastructure Technology Research and Management (IITRAM)"
254,"Junagadh Agricultural University (JAU)"
255,"Kamdhenu University (KU Gandhinagar)"
256,"Krantiguru Shyamji Krishna Verma Kachchh University (KSKVKU)"
257,"Maharaja Krishnakumarsinhji Bhavnagar University (MKBU)"
258,"Maharaja Sayajirao University Baroda (MSU Baroda)"
259,"National Forensic Sciences University (NFSU)"
260,"Navsari Agricultural University (NAU)"
261,"Pandit Deendayal Petroleum University (PDPU)"
262,"Rashtriya Raksha University (RRU)"
263,"Sardar Patel University Vallabh Vidyanagar (SPUVVN)"
264,"Sardarkrushinagar Dantiwada Agricultural University (SDAU)"
265,"Saurashtra University"
266,"Shree Somnath Sanskrit University (SSSU)"
267,"Shri Govind Guru University (SGGU)"
268,"State University of Performing and Visual Arts (SUPVA)"
269,"Swarnim Gujarat Sports University (SGSU)"
270,"Veer Narmad South Gujarat University (VNSGU)"
271,"Gati Shakti Vishwavidyalaya (GSV)"
272,"Charotar University of Science and Technology (CHARUSAT)"
273,"Ahmedabad University"
274,"AURO University"
275,"Calorx Teachers University"
276,"Dharamsinh Desai University (DDIT)"
277,"Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT)"
278,"Ganpat University"
279,"Indrashil University"
280,"Indus University"
281,"ITM Vocational University"
282,"Kadi Sarva Vishwavidyalaya"
283,"Karnavati University"
284,"Marwadi University"
285,"Nirma University"
286,"P P Savani University"
287,"Parul University"
288,"Plastindia International University"
289,"RK University"
290,"Sage University"
291,"Swarnim Startup and Innovation University"
292,"Uka Tarsadia University"
293,"Indian Institute of Information Technology Surat (IIIT Surat)"
294,"Indian Institute of Information Technology Vadodara (IIIT Vadodara)"
295,"Indian Institute of Management Ahmedabad (IIM Ahmedabad)"
296,"Indian Institute of Technology Gandhinagar (IIT Gandhinagar)"
297,"National Institute of Pharmaceutical Education and Research Ahmedabad (NIPER Ahmedabad)"
298,"Sardar Vallabhbhai National Institute of Technology Surat (SVNIT Surat)"
299,"Central University of Haryana (CUH)"
300,"Bhagat Phool Singh Women University Sonepat (BPS Women University)"
301,"Chaudhary Bansi Lal University (CBLU)"
302,"Chaudhary Charan Singh Haryana Agricultural University (CCS HAU)"
303,"Chaudhary Devi Lal University (CDLU)"
304,"Chaudhary Ranbir Singh University (CRSU)"
305,"Deenbandhu Chhotu Ram University of Science and Technology (DCRUSTM)"
306,"Guru Jambheshwar University of Science and Technology (GJUST)"
307,"Gurugram University"
308,"Haryana Institute of Civil Aviation (HICA)"
309,"Indira Gandhi University Meerpur (IGU Meerpur)"
310,"JC Bose University of Science and Technology (YMCA)"
311,"Kurukshetra University"
312,"Lala Lajpat Rai University of Veterinary and Animal Sciences (LUVAS)"
313,"Maharana Pratap Horticultural University (MHU)"
314,"Maharshi Dayanand University Rohtak (MDU Rohtak)"
315,"Pandit Bhagwat Dayal Sharma University of Health Sciences Rohtak (UHSR Rohtak)"
316,"Pandit Lakhmi Chand State University of Performing and Visual Arts (PLC Supva)"
317,"Sardar Patel University Mandi (SPU Mandi)"
318,"Shri Vishwakarma Skill University (SVSU)"
319,"Bharati Vidyapeeth"
320,"Lingyas University"
321,"Maharishi Markandeshwar University Mullana (MMU)"
322,"Manav Rachna International University"
323,"Al-Falah University"
324,"Ansal University"
325,"Apeejay Stya University"
326,"Ashoka University"
327,"Baba Mast Nath University"
328,"BML Munjal University"
329,"GD Goenka University"
330,"Geeta University"
331,"IILM University"
332,"Jagannath University Bahadurgarh"
333,"KR Mangalam University"
334,"MVN University"
335,"NIILM University"
336,"O P Jindal Global University"
337,"PDM University"
338,"Shree Guru Gobind Singh Tricentenary University"
339,"Starex University"
340,"The Northcap University"
341,"Dr BR Ambedkar National Law University (DBRANLU)"
342,"Haryana State Technical Education Society (HSTES)"
343,"Indian Institute of Information Technology Sonepat (IIIT Sonepat)"
344,"Indian Institute of Management Rohtak (IIM Rohtak)"
345,"Institute of Microbial Technology (IMTECH Chandigarh)"
346,"National Institute of Technology Kurukshetra (NIT Kurukshetra)"
347,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences Rohtak (PGIMS Rohtak)"
348,"Regional Centre for Biotechnology (RCB)"
349,"National Brain Research Centre (NBRC)"
350,"National Council for Cement and Building Materials (NCCBM)"
351,"National Dairy Research Institute (NDRI)"
352,"National Institute of Food Technology Entrepreneurship and Management (NIFTEM)"
353,"Translational Health Science and Technology Institute (THSTI)"
354,"Himachal Pradesh Takniki Shiksha Board (HP Tech Board)"
355,"Central University of Himachal Pradesh (CU Himachal Pradesh)"
356,"Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya (CSKHPKV)"
357,"Dr Yashwant Singh Parmar University of Horticulture and Forestry (YSP University)"
358,"Himachal Pradesh Board of School Education (HPBOSE)"
359,"Himachal Pradesh National Law University Shimla (HPNLU Shimla)"
360,"Himachal Pradesh Technical University (HIMTU)"
361,"Himachal Pradesh University (HPU)"
362,"Alakh Prakash Goyal Shimla University"
363,"Arni University"
364,"Baddi University of Emerging Sciences and Technologies (BUEST)"
365,"Bahra University"
366,"Chitkara University"
367,"Eternal University"
368,"IEC University"
369,"Maharaja Agrasen University"
370,"Manav Bharti University"
371,"Shoolini University"
372,"Sri Sai University"
373,"Himalayan Forest Research Institute (HFRI)"
374,"Indian Institute of Information Technology Una (IIIT Una)"
375,"Indian Institute of Management Sirmaur (IIM Sirmaur)"
376,"Indian Institute of Technology Mandi (IIT Mandi)"
377,"National Institute of Technology Hamirpur (NIT Hamirpur)"
378,"Institute of Himalayan Bioresource Technology (IHBT)"
379,"Central University of Jammu (CU Jammu)"
380,"Central University of Kashmir (CUK)"
381,"Shri Mata Vaishno Devi University (SMVDU)"
382,"Baba Ghulam Shah Badshah University (BGSBU)"
383,"Cluster University of Jammu"
384,"Cluster University Srinagar (CU Srinagar)"
385,"Islamic University of Science and Technology (IUST)"
386,"Jammu and Kashmir Board of Professional Entrance Examinations (JK BOPEE)"
387,"Shere Kashmir University of Agricultural Sciences and Technology (SKUAST Kashmir)"
388,"Shere Kashmir University of Agricultural Sciences and Technology Jammu (SKUAST Jammu)"
389,"University of Jammu (Jammu University)"
390,"University of Kashmir (Kashmir University)"
391,"Netaji Subhas University (NSU)"
392,"HEC Training Institute (HTI Ranchi)"
393,"Indian Institute of Management Jammu (IIM Jammu)"
394,"Indian Institute of Technology Jammu (IIT Jammu)"
395,"Jammu Women Govt College (Parade Ground)"
396,"National Institute of Technology Srinagar (NIT Srinagar)"
397,"Central University of Jharkhand (CUJ)"
398,"Binod Bihari Mahto Koyalanchal University (BBMKU)"
399,"Birsa Agricultural University Ranchi (BAU Ranchi)"
400,"Jharkhand Raksha Shakti University (JRSU)"
401,"Kolhan University"
